Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/12/2022,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),Latest Reported Industry Type (sectors),2021 Total reported direct emissions,2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
1001637,110012142733,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,DAVIS JUNCTION,IL,61020,8290 HIGHWAY 251,OGLE COUNTY,42.14,-89.09,562212,"C,HH",Waste,164238.398,192679.1,184687.6,156829.2,121900.95,133228.6,168657.45,113312.9,105230.3,138458.4,78595.9
1006963,110018431320,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,DECATUR,IL,62522,1363 BEAR RD,MACON COUNTY,39.82,-89.04,562212,"C,HH",Waste,42379.948,33001.6,29269.75,34028.2,49066.45,43782.65,28856.8,43911,46213.6,42936.6,53378.1
1000627,110000342460,ADVANSIX INC - CHESTERFIELD PLANT,CHESTER,VA,23836,4101 BERMUDA HUNDRED RD,CHESTERFIELD COUNTY,37.34,-77.29,325211,C,Other,59228.576,57749.83,60337.412,54836.588,58554.38,58711.368,49418.096,46014.576,45318.778,40862.796,40021.946
1000630,110070737782,ADVANSIX INCORPORATED - HOPEWELL,HOPEWELL,VA,23860,905 EAST RANDOLPH ROAD,HOPEWELL CITY,37.18,-77.16,325199,"C,G,PP","Chemicals,Suppliers of CO2",1206917.816,1181515.788,1241380.064,995690.3,1040591.29,958521.876,974277.288,1054912.63,1115670.506,1151345.38,999354.416
1005310,110071162472,AES - PUERTO RICO COGENERATION PLANT,GUAYAMA,PR,00785,"KM 142, RTE. #3 BO. JOBOS",GUAYAMA MUNICIPIO,17.95,-66.15,221112,C,Power Plants,3795966.434,3431800.86,4455499.092,3079369.918,2478454.072,3949680.502,3433759.136,3732438.376,3692531.442,3459977.708,3682689.134
1001444,110000522113,AES Alamitos,LONG BEACH,CA,90803,690 N STUDEBAKER ROAD,Los Angeles,33.77,-118.10,221112,"C,D",Power Plants,1512393.796,823899.996,531900.472,686655.256,591937.056,599958.876,684931.612,841011.832,895173.732,949253.836,693852.344
1001222,110000329083,AES Beaver Valley LLC,MONACA,PA,15061,394 FRANKFORT RD,Beaver,40.66,-80.36,221112,D,Power Plants,,,,,,,27740.132,119152.022,146902.974,1256796.972,1180662.034
1000281,110000462785,"AES Deepwater, Inc.",PASADENA,TX,77506,701 LIGHT COMPANY ROAD,Harris,29.72,-95.23,221119,D,Power Plants,,,,,,,,0,145875.022,81640.376,0
1005972,110027164164,AES HAWAII INC,KAPOLEI,HI,96707,91-086 KAOMI LP,HONOLULU COUNTY,21.30,-158.11,221112,C,Power Plants,1068811.398,1186453.736,1309102.42,1287782.31,1473806.46,1930487.772,1643792.706,1767528.436,1686962.128,1824245.528,1681827.486
1001447,110002921713,AES Huntington Beach,HUNTINGTON BEACH,CA,92646,21730 NEWLAND ST,Orange,33.64,-117.98,221112,"C,D",Power Plants,1501324.036,516763.936,255988.948,201661.552,256547.5,298418.244,432232.948,530032.636,498432.852,693421.48,661647.948
1001450,110014322170,AES Redondo Beach,REDONDO BEACH,CA,90277,1100 N HARBOR DRIVE,Los Angeles,33.85,-118.40,221112,D,Power Plants,192627.088,239844.36,171792.812,194694.98,352462.044,213419.06,318386.968,177465.292,223221.724,409497.132,314013.496
1001223,110000551055,AES Warrior Run,CUMBERLAND,MD,21502,11600 MEXICO FARMS RD SE,Allegany,39.59,-78.75,221112,"C,D,PP","Power Plants,Suppliers of CO2",1411841.348,1117382.992,1226185.332,1212774.492,1233626.17,1091102.582,1324825.018,1367442.996,1482156.434,1408065.392,1487364.736
1003853,110045614689,AFTON CHEMICAL CORP,SAUGET,IL,62201,501 MONSANTO AVE.,ST. CLAIR COUNTY,38.60,-90.17,324191,C,Petroleum and Natural Gas Systems,51908.304,50044.16,51203.208,50153.512,49646.612,48641.416,49461.264,50470.76,45603.128,41473.744,44437.032
1007551,110007383919,AG Energy,Ogdensburg,NY,13669,21 Entrance Avenue,ST. LAWRENCE COUNTY,44.73,-75.44,221112,"C,D",Power Plants,6778.724,7329.672,8452.968,8596.068,8104.12,8417.368,9454.464,9323.564,9405,9060.4,10524.6
1002069,110018869303,AG PROCESSING INC,EMMETSBURG,IA,50536,4739 380TH ST,PALO ALTO COUNTY,43.10,-94.65,311224,C,Other,24670.108,25396.004,25308.804,24158.66,23269.512,22163.916,25088.156,,,,
1002070,110000414365,AG PROCESSING INC A COOP-MANNING,MANNING,IA,51455,1000 300TH STREET,CARROLL COUNTY,41.92,-95.07,311224,C,Other,22416.516,20570.772,20867.672,21352.82,18791.88,17900.032,18891.928,17380.926,25221.954,26736.4,
1006054,110011273022,AG PROCESSING INC-EAGLE GROVE,EAGLE GROVE,IA,50533,500 NORTH COMMERCIAL AVENUE,WRIGHT COUNTY,42.67,-93.90,311224,C,Other,74322.72,66086.452,68459.474,105532.062,108347.058,129447.302,131086.096,127059.26,116196.52,159888.51,159666.156
1002408,110018868126,AG PROCESSING INC-SHELDON,SHELDON,IA,51201,804 2ND AVE,O'BRIEN COUNTY,43.18,-95.86,311224,C,Other,27003.348,27849.396,27399.496,27545.096,26328.9,25410.204,,,,,
1002291,110000427093,AG PROCESSING INCORPORATED A COOPERATIVE,DAWSON,MN,56232,800 DIAGONAL STREET,LAC QUI PARLE COUNTY,44.93,-96.06,311224,C,Other,36929.36,38906.004,42325.64,36194.564,34376.92,33267.424,32544.728,32785.706,24991.556,22220.12,23533.72
1007333,110003253121,AGC FLAT GLASS N AMERICA INC,RICHMOND,KY,40475,201 DUNCANNON LANE,MADISON COUNTY,37.70,-84.27,327211,"C,N",Minerals,88408.856,77596.454,94867.692,80102,187268.058,169184.144,130879.048,69030.128,90720.636,132033,101820.592
